2024-10-12T12:11:49-04:00
Running ./build/run_benchmark
Run on (8 X 3591.96 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x4)
  L1 Instruction 32 KiB (x4)
  L2 Unified 256 KiB (x4)
  L3 Unified 8192 KiB (x1)
Load Average: 0.08, 0.07, 0.10
--------------------------------------------------------------------------------------------------
Benchmark                                        Time             CPU   Iterations UserCounters...
--------------------------------------------------------------------------------------------------
BM_libiop_naive_fft/2_mean                   0.405 us        0.405 us         1000 items_per_second=2.47107M/s
BM_libiop_naive_fft/2_median                 0.405 us        0.405 us         1000 items_per_second=2.47131M/s
BM_libiop_naive_fft/2_stddev                 0.000 us        0.000 us         1000 items_per_second=1.27937k/s
BM_libiop_naive_fft/2_cv                      0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_naive_fft/3_mean                    1.47 us         1.47 us         1000 items_per_second=680.374k/s
BM_libiop_naive_fft/3_median                  1.47 us         1.47 us         1000 items_per_second=680.43k/s
BM_libiop_naive_fft/3_stddev                 0.001 us        0.001 us         1000 items_per_second=383.522/s
BM_libiop_naive_fft/3_cv                      0.06 %          0.06 %          1000 items_per_second=0.06%
BM_libiop_naive_fft/4_mean                    5.63 us         5.63 us         1000 items_per_second=177.529k/s
BM_libiop_naive_fft/4_median                  5.63 us         5.63 us         1000 items_per_second=177.544k/s
BM_libiop_naive_fft/4_stddev                 0.003 us        0.003 us         1000 items_per_second=87.2906/s
BM_libiop_naive_fft/4_cv                      0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_naive_fft/5_mean                    22.2 us         22.2 us         1000 items_per_second=45.1044k/s
BM_libiop_naive_fft/5_median                  22.2 us         22.2 us         1000 items_per_second=45.108k/s
BM_libiop_naive_fft/5_stddev                 0.011 us        0.011 us         1000 items_per_second=21.3523/s
BM_libiop_naive_fft/5_cv                      0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_naive_fft/6_mean                    88.2 us         88.2 us         1000 items_per_second=11.3404k/s
BM_libiop_naive_fft/6_median                  88.1 us         88.1 us         1000 items_per_second=11.3533k/s
BM_libiop_naive_fft/6_stddev                 0.187 us        0.186 us         1000 items_per_second=23.9154/s
BM_libiop_naive_fft/6_cv                      0.21 %          0.21 %          1000 items_per_second=0.21%
BM_libiop_naive_fft/7_mean                     351 us          351 us         1000 items_per_second=2.84642k/s
BM_libiop_naive_fft/7_median                   352 us          351 us         1000 items_per_second=2.84498k/s
BM_libiop_naive_fft/7_stddev                 0.419 us        0.419 us         1000 items_per_second=3.39881/s
BM_libiop_naive_fft/7_cv                      0.12 %          0.12 %          1000 items_per_second=0.12%
BM_libiop_naive_fft/8_mean                    1403 us         1403 us         1000 items_per_second=712.85/s
BM_libiop_naive_fft/8_median                  1404 us         1404 us         1000 items_per_second=712.498/s
BM_libiop_naive_fft/8_stddev                  1.58 us         1.57 us         1000 items_per_second=0.800023/s
BM_libiop_naive_fft/8_cv                      0.11 %          0.11 %          1000 items_per_second=0.11%
BM_libiop_naive_fft/9_mean                    5607 us         5607 us         1000 items_per_second=178.356/s
BM_libiop_naive_fft/9_median                  5609 us         5609 us         1000 items_per_second=178.269/s
BM_libiop_naive_fft/9_stddev                  10.8 us         10.8 us         1000 items_per_second=0.336837/s
BM_libiop_naive_fft/9_cv                      0.19 %          0.19 %          1000 items_per_second=0.19%
BM_libiop_naive_fft/10_mean                  22425 us        22425 us         1000 items_per_second=44.5935/s
BM_libiop_naive_fft/10_median                22436 us        22436 us         1000 items_per_second=44.5719/s
BM_libiop_naive_fft/10_stddev                 26.2 us         26.1 us         1000 items_per_second=0.0520038/s
BM_libiop_naive_fft/10_cv                     0.12 %          0.12 %          1000 items_per_second=0.12%
BM_libiop_naive_fft/11_mean                  89937 us        89938 us         1000 items_per_second=11.1188/s
BM_libiop_naive_fft/11_median                89942 us        89942 us         1000 items_per_second=11.1182/s
BM_libiop_naive_fft/11_stddev                 72.0 us         72.0 us         1000 items_per_second=8.89382m/s
BM_libiop_naive_fft/11_cv                     0.08 %          0.08 %          1000 items_per_second=0.08%
BM_libiop_naive_fft/12_mean                 359704 us       359705 us         1000 items_per_second=2.78006/s
BM_libiop_naive_fft/12_median               359727 us       359729 us         1000 items_per_second=2.77987/s
BM_libiop_naive_fft/12_stddev                  293 us          292 us         1000 items_per_second=2.2518m/s
BM_libiop_naive_fft/12_cv                     0.08 %          0.08 %          1000 items_per_second=0.08%
BM_libiop_naive_fft/13_mean                1438344 us      1438341 us         1000 items_per_second=0.695252/s
BM_libiop_naive_fft/13_median              1438805 us      1438804 us         1000 items_per_second=0.695022/s
BM_libiop_naive_fft/13_stddev                 4687 us         4680 us         1000 items_per_second=2.18232m/s
BM_libiop_naive_fft/13_cv                     0.33 %          0.33 %          1000 items_per_second=0.31%
BM_libiop_naive_fft/14_mean                5754669 us      5754577 us         1000 items_per_second=0.173775/s
BM_libiop_naive_fft/14_median              5756467 us      5756369 us         1000 items_per_second=0.173721/s
BM_libiop_naive_fft/14_stddev                 5083 us         5084 us         1000 items_per_second=153.76u/s
BM_libiop_naive_fft/14_cv                     0.09 %          0.09 %          1000 items_per_second=0.09%
BM_libiop_naive_fft/15_mean               22990514 us     22990252 us         1000 items_per_second=0.0434967/s
BM_libiop_naive_fft/15_median             22973539 us     22973317 us         1000 items_per_second=0.0435288/s
BM_libiop_naive_fft/15_stddev                25566 us        25530 us         1000 items_per_second=48.2688u/s
BM_libiop_naive_fft/15_cv                     0.11 %          0.11 %          1000 items_per_second=0.11%
BM_libiop_additive_fft/2_mean                 8.79 us         8.79 us         1000 items_per_second=113.776k/s
BM_libiop_additive_fft/2_median               8.79 us         8.79 us         1000 items_per_second=113.785k/s
BM_libiop_additive_fft/2_stddev              0.004 us        0.004 us         1000 items_per_second=52.0467/s
BM_libiop_additive_fft/2_cv                   0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_additive_fft/3_mean                 13.6 us         13.6 us         1000 items_per_second=73.661k/s
BM_libiop_additive_fft/3_median               13.6 us         13.6 us         1000 items_per_second=73.6666k/s
BM_libiop_additive_fft/3_stddev              0.007 us        0.007 us         1000 items_per_second=36.9948/s
BM_libiop_additive_fft/3_cv                   0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_additive_fft/4_mean                 19.1 us         19.1 us         1000 items_per_second=52.3748k/s
BM_libiop_additive_fft/4_median               19.1 us         19.1 us         1000 items_per_second=52.3791k/s
BM_libiop_additive_fft/4_stddev              0.009 us        0.009 us         1000 items_per_second=23.6253/s
BM_libiop_additive_fft/4_cv                   0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_additive_fft/5_mean                 26.4 us         26.4 us         1000 items_per_second=37.9134k/s
BM_libiop_additive_fft/5_median               26.4 us         26.4 us         1000 items_per_second=37.9159k/s
BM_libiop_additive_fft/5_stddev              0.012 us        0.012 us         1000 items_per_second=17.2314/s
BM_libiop_additive_fft/5_cv                   0.05 %          0.05 %          1000 items_per_second=0.05%
BM_libiop_additive_fft/6_mean                 37.4 us         37.4 us         1000 items_per_second=26.7349k/s
BM_libiop_additive_fft/6_median               37.4 us         37.4 us         1000 items_per_second=26.7514k/s
BM_libiop_additive_fft/6_stddev              0.133 us        0.133 us         1000 items_per_second=94.2594/s
BM_libiop_additive_fft/6_cv                   0.36 %          0.36 %          1000 items_per_second=0.35%
BM_libiop_additive_fft/7_mean                 56.7 us         56.7 us         1000 items_per_second=17.6374k/s
BM_libiop_additive_fft/7_median               56.6 us         56.6 us         1000 items_per_second=17.6697k/s
BM_libiop_additive_fft/7_stddev              0.291 us        0.291 us         1000 items_per_second=89.2927/s
BM_libiop_additive_fft/7_cv                   0.51 %          0.51 %          1000 items_per_second=0.51%
BM_libiop_additive_fft/8_mean                 94.4 us         94.4 us         1000 items_per_second=10.5931k/s
BM_libiop_additive_fft/8_median               94.2 us         94.2 us         1000 items_per_second=10.6186k/s
BM_libiop_additive_fft/8_stddev              0.745 us        0.744 us         1000 items_per_second=82.1077/s
BM_libiop_additive_fft/8_cv                   0.79 %          0.79 %          1000 items_per_second=0.78%
BM_libiop_additive_fft/9_mean                  173 us          173 us         1000 items_per_second=5.79583k/s
BM_libiop_additive_fft/9_median                173 us          173 us         1000 items_per_second=5.79108k/s
BM_libiop_additive_fft/9_stddev              0.360 us        0.360 us         1000 items_per_second=12.1171/s
BM_libiop_additive_fft/9_cv                   0.21 %          0.21 %          1000 items_per_second=0.21%
BM_libiop_additive_fft/10_mean                 337 us          337 us         1000 items_per_second=2.96621k/s
BM_libiop_additive_fft/10_median               337 us          337 us         1000 items_per_second=2.96625k/s
BM_libiop_additive_fft/10_stddev             0.325 us        0.325 us         1000 items_per_second=2.8466/s
BM_libiop_additive_fft/10_cv                  0.10 %          0.10 %          1000 items_per_second=0.10%
BM_libiop_additive_fft/11_mean                 703 us          703 us         1000 items_per_second=1.42193k/s
BM_libiop_additive_fft/11_median               703 us          703 us         1000 items_per_second=1.42213k/s
BM_libiop_additive_fft/11_stddev              1.10 us         1.10 us         1000 items_per_second=2.21694/s
BM_libiop_additive_fft/11_cv                  0.16 %          0.16 %          1000 items_per_second=0.16%
BM_libiop_additive_fft/12_mean                1495 us         1495 us         1000 items_per_second=669.054/s
BM_libiop_additive_fft/12_median              1494 us         1494 us         1000 items_per_second=669.205/s
BM_libiop_additive_fft/12_stddev              2.28 us         2.28 us         1000 items_per_second=1.01992/s
BM_libiop_additive_fft/12_cv                  0.15 %          0.15 %          1000 items_per_second=0.15%
BM_libiop_additive_fft/13_mean                3215 us         3215 us         1000 items_per_second=311.042/s
BM_libiop_additive_fft/13_median              3215 us         3215 us         1000 items_per_second=311.084/s
BM_libiop_additive_fft/13_stddev              3.14 us         3.13 us         1000 items_per_second=0.302939/s
BM_libiop_additive_fft/13_cv                  0.10 %          0.10 %          1000 items_per_second=0.10%
BM_libiop_additive_fft/14_mean                7016 us         7016 us         1000 items_per_second=142.528/s
BM_libiop_additive_fft/14_median              7015 us         7015 us         1000 items_per_second=142.547/s
BM_libiop_additive_fft/14_stddev              6.67 us         6.66 us         1000 items_per_second=0.135168/s
BM_libiop_additive_fft/14_cv                  0.10 %          0.09 %          1000 items_per_second=0.09%
BM_libiop_additive_fft/15_mean               15181 us        15181 us         1000 items_per_second=65.8722/s
BM_libiop_additive_fft/15_median             15180 us        15180 us         1000 items_per_second=65.8755/s
