m,Initialization,Scaling,TaylorEx,BasisComputation,Bitreverse,Span,Aggregate
5,82.8,3060.02,385.921,20627.0,176.577,278.408,1433.49
6,108.032,6903.46,1017.42,24837.800000000003,335.775,454.312,3334.8900000000003
7,169.96,15414.499999999998,2842.9100000000003,29138.0,816.619,762.435,7645.41
8,443.817,33793.49999999999,6157.15,33455.8,1503.2299999999998,1742.0300000000002,16730.7
9,755.803,74120.3,15025.2,37883.0,3252.41,2626.3300000000004,37062.5
10,1447.73,160379.0,36539.8,42199.1,6924.1900000000005,3998.43,81633.5
11,2588.77,346405.00000000006,85569.3,46637.7,14677.900000000001,7262.37,176049.0
12,20776.699999999997,744693.0000000001,209248.0,51278.4,32387.999999999996,16030.9,382068.00000000006
13,38750.0,1588960.0,509785.99999999994,55687.9,68548.99999999999,38364.9,826149.0
14,72147.7,3383779.9999999995,1305800.0000000002,60346.90000000001,158631.0,80330.20000000001,1779400.0
15,132682.0,7171470.0,3069150.0,64886.399999999994,345183.99999999994,148285.0,3804210.0
16,259792.00000000003,15153900.0,6978860.0,69579.9,723616.0,297923.0,8099560.0
17,587972.0000000001,31990700.0,16034300.000000002,74542.6,1527490.0,629698.0,17282200.0
18,1722920.0,67504500.0,46748700.0,83739.90000000001,4635210.0,1271550.0,37532000.0
19,3539440.0,142138000.0,180156000.0,93663.3,18799399.999999996,2497740.0,81836000.0
20,11206500.0,297307000.0,486210000.0,98934.1,46097000.0,4580920.0,176680000.0
