m,Initialization,Scaling,TaylorEx,BasisComputation,Bitreverse,Span,Aggregate
5,0.003179208773264666,0.1174932660672143,0.014817915809022624,0.7919992677068873,0.006779893086434239,0.01068982072641388,0.05504062783076288
6,0.0029204397777024996,0.18662191931814737,0.027504015834475683,0.6714427124427867,0.00907703889919706,0.012281461384474767,0.09015241234321579
7,0.0029927891671597427,0.27143062260051687,0.05006019211114441,0.5130847890839055,0.01437966872732891,0.013425554299031762,0.13462638401091295
8,0.004730201929573487,0.3601711491606712,0.06562290946645441,0.3565719422992465,0.01602142650370029,0.01856655708856331,0.17831581355179082
9,0.004427005981172951,0.4341488607829468,0.08800792040825432,0.2218941544089861,0.019050517824389053,0.015383345420081634,0.21708819517416908
10,0.004345948590868054,0.4814425956876127,0.10968902510868773,0.12667770867558184,0.020785763763548914,0.012002908846390246,0.2450560493273105
11,0.003811554715967271,0.510026619353841,0.12598727154479472,0.06866664299140782,0.021610888169090348,0.010692692136651473,0.2592043310882474
12,0.014264979405870164,0.5112953601243543,0.14366662707357378,0.0352070020728014,0.022237128754678218,0.01100658229447237,0.2623223202742497
13,0.012395054670667715,0.5082644146968819,0.16306646039589706,0.017813021032120686,0.021926931680505836,0.012271871817669673,0.2642622457062571
14,0.010547237355842154,0.49467316102871695,0.19089427021594155,0.008822084113412777,0.023190189139703644,0.011743433071910421,0.2601296250744726
15,0.009004016960684648,0.48666765283189234,0.20827752562431445,0.004403296951491298,0.023424749329652626,0.010062861993451433,0.2581598963085132
16,0.008225630899592353,0.47980841630740184,0.22096726019249663,0.002203064664926348,0.022911398846151614,0.009432948799421276,0.25645128029000985
17,0.008630540617004362,0.4695751425516886,0.2353592984278725,0.0010941727446155758,0.02242124537744653,0.009243015254886989,0.25367658502648555
18,0.010802099736538222,0.42322936739090866,0.2930978338828874,0.0005250195898403508,0.029061129199149893,0.007972169293986473,0.23531238090668893
19,0.00824928446592339,0.331277488929723,0.41988509262563967,0.00021829871553610803,0.04381529235943543,0.0058214202760649945,0.1907331226276774
20,0.010963329470235218,0.29085571720048387,0.47565969943542274,9.678732290556357e-05,0.04509673837410725,0.004481518336393157,0.17284620986045227
